"team","possession.team","possession.in.contest","number.of.goals.team","total.attempts.team","conceded.team","goal.inside.the.penalty.area.team","goal.outside.the.penalty.area.team","assists.team","on.target.attempts.team","off.target.attempts.team","attempts.inside.the.penalty.area.team","attempts.outside.the.penalty.area..team","left.channel.team","left.inside.channel.team","central.channel.team","right.inside.channel.team","right.channel.team","total.offers.to.receive.team","inbehind.offers.to.receive.team","inbetween.offers.to.receive.team","infront.offers.to.receive.team","receptions.between.midfield.and.defensive.lines.team","attempted.line.breaks.team","completed.line.breaks.team","attempted.defensive.line.breaks.team","completed.defensive.line.breaks.team","yellow.cards.team","red.cards.team","fouls.committed","fouls.drawn","offsides.team","passes.team","passes.completed.team","crosses.team","crosses.completed.team","switches.of.play.completed.team","corners.team","free.kicks.team","penalties.scored.team","goal.preventions.team","own.goals.team","forced.turnovers.team","defensive.pressures.applied.team","total.goals","total.attempts","total.attempted.defensive.line.breaks","outcome","team_num","result"
"NETHERLANDS",54,8,2,13,0,2,0,1,4,5,10,3,25,9,8,11,21,785,157,322,306,16,185,165,13,10,1,0,19,9,4,795,740,11,1,1,4,9,0,5,0,62,319,2,19,28,1,1,"1"
"NETHERLANDS",33,13,3,11,1,3,0,3,6,4,7,4,4,2,4,7,10,404,73,200,131,8,161,95,17,7,2,0,10,5,0,396,320,13,4,4,4,8,0,18,0,101,325,4,29,45,1,1,"1"
"NETHERLANDS",45,11,2,5,2,2,0,2,2,2,3,2,11,7,9,3,15,722,117,278,327,5,194,130,15,6,8,1,30,18,1,651,557,22,4,5,2,20,0,15,0,91,401,4,20,39,0,1,"0"
"NETHERLANDS",45,11,2,9,0,2,0,1,3,5,5,4,11,2,2,7,20,506,117,191,198,14,162,96,22,10,1,0,13,13,1,438,374,25,8,6,7,14,0,15,0,73,251,2,23,44,2,2,"1"
"TUNISIA",50,19,0,13,1,0,0,0,4,5,9,4,12,8,7,6,11,710,166,291,253,13,200,109,23,11,3,0,16,15,3,501,396,23,5,6,5,15,0,9,0,81,217,1,21,42,2,1,"2"
"TUNISIA",30,14,1,5,0,0,1,1,3,2,2,3,11,3,4,0,10,381,99,175,107,9,153,96,21,7,1,0,14,6,3,328,266,27,4,4,7,8,0,11,0,68,400,1,14,31,1,1,"1"
"TUNISIA",33,12,0,11,0,0,0,0,1,7,6,5,9,2,2,3,6,477,89,204,184,7,174,85,17,6,1,0,10,9,1,387,302,13,3,1,9,10,0,11,0,73,287,0,22,38,0,2,"0"
"POLAND",30,14,2,8,0,2,0,1,3,3,8,0,7,2,4,8,13,428,140,164,124,14,150,84,22,12,3,0,18,15,0,303,236,19,8,5,4,15,0,16,0,69,329,2,24,49,1,1,"1"
"POLAND",24,9,0,4,2,0,0,0,0,2,2,2,6,2,1,2,3,328,62,126,140,2,117,66,5,1,1,0,6,11,0,321,261,5,2,8,1,12,0,25,0,67,438,2,29,30,2,1,"2"
"POLAND",31,15,0,8,0,0,0,0,1,4,7,1,8,6,6,4,13,296,72,101,123,3,150,82,12,2,1,0,16,14,0,322,241,10,2,1,5,16,0,15,0,70,290,0,21,44,0,2,"0"
"POLAND",42,10,1,11,3,1,0,0,3,5,8,3,15,2,2,3,10,501,124,224,153,11,156,97,20,12,2,0,8,10,1,466,391,18,7,5,1,11,1,16,0,64,297,4,27,46,1,2,"2"
"JAPAN",48,13,0,14,1,0,0,0,3,4,7,7,28,6,9,3,10,699,176,255,268,5,158,95,22,7,3,0,22,9,0,575,510,17,1,2,5,11,0,4,0,47,300,1,18,26,2,1,"2"
"JAPAN",14,8,2,6,1,1,1,2,3,2,4,2,2,3,1,2,5,315,77,106,132,10,104,57,14,8,3,0,9,6,2,225,167,6,3,2,0,8,0,14,0,85,637,3,20,35,1,1,"1"
"JAPAN",35,14,1,12,1,1,0,1,4,4,5,7,14,6,6,6,18,692,157,270,265,8,229,116,21,8,0,0,13,16,3,532,414,28,6,5,8,16,0,18,0,100,405,2,28,41,0,1,"0"
"JAPAN",22,13,2,10,1,2,0,1,3,6,10,0,5,0,3,3,11,346,102,146,98,10,113,70,17,11,0,0,14,6,4,261,207,16,3,2,6,10,0,26,0,87,487,3,35,40,2,2,"1"
"CROATIA",41,13,4,13,1,3,1,4,10,2,9,4,7,3,3,3,3,573,113,256,204,15,193,124,24,10,2,0,13,5,1,462,391,22,5,6,5,8,0,9,0,87,347,5,22,39,1,1,"1"
"CROATIA",43,10,0,11,0,0,0,0,4,5,7,4,23,7,3,2,12,650,124,338,188,17,204,159,23,17,0,0,7,9,4,578,504,24,6,18,2,9,0,16,0,70,328,0,26,49,0,1,"0"
"CROATIA",45,10,1,9,1,1,0,1,1,4,5,4,19,4,2,5,27,674,156,250,268,10,240,180,16,10,2,0,22,24,3,715,632,22,5,13,3,27,0,21,0,95,365,2,29,35,0,1,"0"
"CROATIA",45,10,2,14,1,2,0,2,4,8,7,7,20,8,3,2,7,519,117,198,204,15,164,114,23,12,0,0,13,11,2,491,430,21,3,7,6,13,0,7,0,75,288,3,21,37,1,1,"1"
"CROATIA",57,12,0,6,0,0,0,0,2,2,4,2,12,3,6,5,7,626,99,197,330,9,169,116,18,9,0,0,11,17,1,667,592,19,4,7,5,17,0,8,0,58,217,0,14,28,0,2,"0"
"CROATIA",51,14,1,16,1,1,0,1,4,8,9,7,18,7,9,6,28,717,175,247,295,14,232,132,20,11,2,0,16,13,0,735,624,35,9,7,5,16,0,11,0,100,308,2,28,41,0,2,"0"
"CROATIA",54,12,0,12,3,0,0,0,3,7,6,6,18,6,7,4,8,643,136,291,216,3,182,129,9,1,2,0,8,15,0,624,551,20,4,8,4,16,0,10,0,63,260,3,22,26,1,2,"2"
"CAMEROON",38,13,3,13,3,3,0,3,8,3,9,4,5,3,5,4,15,419,103,149,167,15,173,78,22,12,2,0,8,13,0,364,271,20,1,5,4,17,0,16,0,83,285,6,29,44,0,1,"0"
"CAMEROON",31,13,1,7,0,1,0,1,3,3,5,2,8,8,4,4,9,397,88,144,165,9,144,92,16,7,5,1,14,14,0,295,239,12,3,4,3,15,0,20,0,78,321,1,26,31,1,1,"1"
"CAMEROON",46,11,0,7,1,0,0,0,3,2,6,1,9,12,3,5,18,561,109,248,204,5,182,103,16,4,1,0,10,12,2,500,424,20,4,8,5,14,0,8,0,79,316,1,15,37,1,2,"2"
"KOREA REPUBLIC",53,15,2,21,3,2,0,2,6,8,15,6,22,5,6,8,27,695,175,234,286,19,201,148,24,19,2,0,13,9,1,540,477,46,16,16,12,10,0,8,0,53,220,5,29,36,2,1,"2"
"KOREA REPUBLIC",34,11,2,12,1,2,0,1,6,4,6,6,9,7,5,2,7,470,93,186,191,8,139,87,11,6,2,0,9,11,1,359,304,13,3,9,5,15,0,14,0,54,359,3,24,32,1,1,"1"
